CMDLINE /home/yahya/.virtualenvs/cv3/bin/python2 koli_for_image.py
MEM 1.355469 1511579016.5528
MEM 39.398438 1511579016.6531
MEM 141.445312 1511579016.7536
MEM 542.535156 1511579016.8542
MEM 542.535156 1511579016.9546
MEM 715.972656 1511579017.0550
MEM 1090.785156 1511579017.1555
MEM 1170.246094 1511579017.2561
MEM 1236.019531 1511579017.3564
MEM 1638.902344 1511579017.4569
MEM 1240.414062 1511579017.5573
MEM 646.867188 1511579017.6577
MEM 653.031250 1511579017.7580
MEM 671.003906 1511579017.8584
MEM 716.214844 1511579017.9588
MEM 755.535156 1511579018.0592
MEM 1104.210938 1511579018.1595
MEM 1208.210938 1511579018.2599
MEM 1287.796875 1511579018.3604
MEM 1680.214844 1511579018.4607
MEM 1820.203125 1511579018.5613
MEM 1835.722656 1511579018.6618
MEM 2198.328125 1511579018.7622
MEM 2352.187500 1511579018.8626
MEM 2309.988281 1511579018.9630
MEM 1031.644531 1511579019.0634
MEM 1031.644531 1511579019.1638
MEM 1031.644531 1511579019.2643
MEM 1033.187500 1511579019.3648
MEM 1403.335938 1511579019.4652
MEM 1425.335938 1511579019.5656
MEM 1428.804688 1511579019.6660
MEM 1820.835938 1511579019.7666
MEM 1884.753906 1511579019.8671
MEM 1902.796875 1511579019.9675
MEM 2321.648438 1511579020.0681
MEM 1945.402344 1511579020.1685
MEM 1122.015625 1511579020.2689
MEM 1122.269531 1511579020.3693
MEM 1122.269531 1511579020.4697
MEM 1122.269531 1511579020.5700
MEM 1132.269531 1511579020.6704
MEM 1514.300781 1511579020.7709
MEM 1514.300781 1511579020.8713
MEM 1638.308594 1511579020.9718
MEM 1906.093750 1511579021.0723
MEM 1906.093750 1511579021.1728
MEM 2070.320312 1511579021.2732
MEM 2334.105469 1511579021.3737
MEM 2229.945312 1511579021.4741
MEM 1122.425781 1511579021.5745
MEM 1122.425781 1511579021.6749
MEM 1122.425781 1511579021.7752
MEM 1122.425781 1511579021.8763
MEM 1332.429688 1511579021.9767
MEM 1514.429688 1511579022.0771
MEM 1514.429688 1511579022.1776
MEM 1700.433594 1511579022.2780
MEM 1906.433594 1511579022.3785
MEM 1906.433594 1511579022.4791
MEM 1907.726562 1511579022.5797
MEM 2324.746094 1511579022.6800
